"DryRun","SourceExists","TipoVisual","Nombre","Relativo","RutaOrigen","DestinoPrevisto","Extension","TamanoPlanBytes","TamanoRealBytes","LastWrite","Riesgo","Motivo"
"NO_COPY","True","cctv_coverage_map","ZONAS CCTV.png","CCTV\NAVE TALLER\ZONAS CCTV.png","G:\CCTV\NAVE TALLER\ZONAS CCTV.png","C:\RUNEFOGE_PRO\runeforge\data\visual_layout_engine\imports\gdrive_zod\visual_direct\cctv_coverage_map\CCTV__NAVE TALLER__ZONAS CCTV.png",".png","2849860","2849860","2026-01-06T13:14:20.1533653-06:00","MEDIO","Recurso visual/layout/CCTV/mapa/KML"
"NO_COPY","True","cctv_coverage_map","base_mejorada_realista.jpg","CCTV\NAVE TALLER\NAVE\base_mejorada_realista.jpg","G:\CCTV\NAVE TALLER\NAVE\base_mejorada_realista.jpg","C:\RUNEFOGE_PRO\runeforge\data\visual_layout_engine\imports\gdrive_zod\visual_direct\cctv_coverage_map\CCTV__NAVE TALLER__NAVE__base_mejorada_realista.jpg",".jpg","236789","236789","2026-01-06T12:49:37.0495125-06:00","MEDIO","Recurso visual/layout/CCTV/mapa/KML"
"NO_COPY","True","cctv_coverage_map","ChatGPT Image 6 ene 2026, 05_28_14 a.m..png","CCTV\NAVE TALLER\NAVE\ChatGPT Image 6 ene 2026, 05_28_14 a.m..png","G:\CCTV\NAVE TALLER\NAVE\ChatGPT Image 6 ene 2026, 05_28_14 a.m..png","C:\RUNEFOGE_PRO\runeforge\data\visual_layout_engine\imports\gdrive_zod\visual_direct\cctv_coverage_map\CCTV__NAVE TALLER__NAVE__ChatGPT Image 6 ene 2026, 05_28_14 a.m..png",".png","3846486","3846486","2026-01-06T05:33:13.1659227-06:00","MEDIO","Recurso visual/layout/CCTV/mapa/KML"
"NO_COPY","True","cctv_coverage_map","ChatGPT Image 6 ene 2026, 05_34_02 a.m..png","CCTV\NAVE TALLER\NAVE\ChatGPT Image 6 ene 2026, 05_34_02 a.m..png","G:\CCTV\NAVE TALLER\NAVE\ChatGPT Image 6 ene 2026, 05_34_02 a.m..png","C:\RUNEFOGE_PRO\runeforge\data\visual_layout_engine\imports\gdrive_zod\visual_direct\cctv_coverage_map\CCTV__NAVE TALLER__NAVE__ChatGPT Image 6 ene 2026, 05_34_02 a.m..png",".png","2292659","2292659","2026-01-06T05:34:06.5897779-06:00","MEDIO","Recurso visual/layout/CCTV/mapa/KML"
"NO_COPY","True","cctv_coverage_map","NAVE.png","CCTV\NAVE TALLER\NAVE\NAVE.png","G:\CCTV\NAVE TALLER\NAVE\NAVE.png","C:\RUNEFOGE_PRO\runeforge\data\visual_layout_engine\imports\gdrive_zod\visual_direct\cctv_coverage_map\CCTV__NAVE TALLER__NAVE__NAVE.png",".png","2019243","2019243","2026-01-06T04:43:02.7950365-06:00","MEDIO","Recurso visual/layout/CCTV/mapa/KML"
"NO_COPY","True","cctv_coverage_map","ChatGPT Image 6 ene 2026, 03_00_11 a.m..png","CCTV\OFICINAS\ChatGPT Image 6 ene 2026, 03_00_11 a.m..png","G:\CCTV\OFICINAS\ChatGPT Image 6 ene 2026, 03_00_11 a.m..png","C:\RUNEFOGE_PRO\runeforge\data\visual_layout_engine\imports\gdrive_zod\visual_direct\cctv_coverage_map\CCTV__OFICINAS__ChatGPT Image 6 ene 2026, 03_00_11 a.m..png",".png","2129055","2129055","2026-01-06T03:00:12.6173036-06:00","MEDIO","Recurso visual/layout/CCTV/mapa/KML"
"NO_COPY","True","cctv_coverage_map","ChatGPT Image 6 ene 2026, 03_02_37 a.m..png","CCTV\OFICINAS\ChatGPT Image 6 ene 2026, 03_02_37 a.m..png","G:\CCTV\OFICINAS\ChatGPT Image 6 ene 2026, 03_02_37 a.m..png","C:\RUNEFOGE_PRO\runeforge\data\visual_layout_engine\imports\gdrive_zod\visual_direct\cctv_coverage_map\CCTV__OFICINAS__ChatGPT Image 6 ene 2026, 03_02_37 a.m..png",".png","2309152","2309152","2026-01-06T03:02:41.8803001-06:00","MEDIO","Recurso visual/layout/CCTV/mapa/KML"
"NO_COPY","True","cctv_coverage_map","ChatGPT Image 6 ene 2026, 03_04_40 a.m..png","CCTV\OFICINAS\ChatGPT Image 6 ene 2026, 03_04_40 a.m..png","G:\CCTV\OFICINAS\ChatGPT Image 6 ene 2026, 03_04_40 a.m..png","C:\RUNEFOGE_PRO\runeforge\data\visual_layout_engine\imports\gdrive_zod\visual_direct\cctv_coverage_map\CCTV__OFICINAS__ChatGPT Image 6 ene 2026, 03_04_40 a.m..png",".png","2520787","2520787","2026-01-06T03:04:43.9867844-06:00","MEDIO","Recurso visual/layout/CCTV/mapa/KML"
"NO_COPY","True","cctv_coverage_map","ChatGPT Image 6 ene 2026, 03_06_29 a.m..png","CCTV\OFICINAS\ChatGPT Image 6 ene 2026, 03_06_29 a.m..png","G:\CCTV\OFICINAS\ChatGPT Image 6 ene 2026, 03_06_29 a.m..png","C:\RUNEFOGE_PRO\runeforge\data\visual_layout_engine\imports\gdrive_zod\visual_direct\cctv_coverage_map\CCTV__OFICINAS__ChatGPT Image 6 ene 2026, 03_06_29 a.m..png",".png","2377703","2377703","2026-01-06T03:06:32.8105303-06:00","MEDIO","Recurso visual/layout/CCTV/mapa/KML"
"NO_COPY","True","cctv_coverage_map","ChatGPT Image 6 ene 2026, 03_10_30 a.m..png","CCTV\OFICINAS\ChatGPT Image 6 ene 2026, 03_10_30 a.m..png","G:\CCTV\OFICINAS\ChatGPT Image 6 ene 2026, 03_10_30 a.m..png","C:\RUNEFOGE_PRO\runeforge\data\visual_layout_engine\imports\gdrive_zod\visual_direct\cctv_coverage_map\CCTV__OFICINAS__ChatGPT Image 6 ene 2026, 03_10_30 a.m..png",".png","2377703","2377703","2026-01-06T03:10:33.8608104-06:00","MEDIO","Recurso visual/layout/CCTV/mapa/KML"
