"Status","RelativePath","ActivePath","NestedPath","ActiveSizeMB","NestedSizeMB","ActiveHash","NestedHash"
"SAME_HASH","retro\_downloads\PPSSPPWindowsARM64\assets\debugger\.nojekyll","C:\RUNEFOGE_PRO\runeforge\app\retro\_downloads\PPSSPPWindowsARM64\assets\debugger\.nojekyll","C:\RUNEFOGE_PRO\runeforge\runeforge\app\retro\_downloads\PPSSPPWindowsARM64\assets\debugger\.nojekyll","0","0","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855"
"SAME_HASH","retro\frontends\playnite\PlayniteInstaller.exe","C:\RUNEFOGE_PRO\runeforge\app\retro\frontends\playnite\PlayniteInstaller.exe","C:\RUNEFOGE_PRO\runeforge\runeforge\app\retro\frontends\playnite\PlayniteInstaller.exe","0.2444","0.2444","6CA62BACFA234F2B2C2B26341D5C5292D7F6AD99CB816418AF58302647548D65","6CA62BACFA234F2B2C2B26341D5C5292D7F6AD99CB816418AF58302647548D65"
"SAME_HASH","retro\start-runeforge.cmd","C:\RUNEFOGE_PRO\runeforge\app\retro\start-runeforge.cmd","C:\RUNEFOGE_PRO\runeforge\runeforge\app\retro\start-runeforge.cmd","0.0001","0.0001","512A1418AEABED6C6FA17F9A24921F7E934BCA16488DBA2CCF92049E3A3D5AA3","512A1418AEABED6C6FA17F9A24921F7E934BCA16488DBA2CCF92049E3A3D5AA3"
"SAME_HASH","retro\tools\ps2-bios-dumper\padtest_ps2.elf","C:\RUNEFOGE_PRO\runeforge\app\retro\tools\ps2-bios-dumper\padtest_ps2.elf","C:\RUNEFOGE_PRO\runeforge\runeforge\app\retro\tools\ps2-bios-dumper\padtest_ps2.elf","0.1898","0.1898","0D0733034A3D0AD8B59F7DAAEA139C631CAF466E3ADE77405AF495E1C441A41B","0D0733034A3D0AD8B59F7DAAEA139C631CAF466E3ADE77405AF495E1C441A41B"
"SAME_HASH","retro\tools\ps2-bios-dumper\PS2dumperV2_bin.7z","C:\RUNEFOGE_PRO\runeforge\app\retro\tools\ps2-bios-dumper\PS2dumperV2_bin.7z","C:\RUNEFOGE_PRO\runeforge\runeforge\app\retro\tools\ps2-bios-dumper\PS2dumperV2_bin.7z","0.2812","0.2812","04350080EE7EF2018FC733CDAA48C38566A4FE3DF15CCD1BF09ABAA7C7099637","04350080EE7EF2018FC733CDAA48C38566A4FE3DF15CCD1BF09ABAA7C7099637"
"SAME_HASH","retro\tools\ps2-bios-dumper\PS2dumperV2_iso.7z","C:\RUNEFOGE_PRO\runeforge\app\retro\tools\ps2-bios-dumper\PS2dumperV2_iso.7z","C:\RUNEFOGE_PRO\runeforge\runeforge\app\retro\tools\ps2-bios-dumper\PS2dumperV2_iso.7z","0.4316","0.4316","1E578127E0D5A53840251F17472F68808BC5D6E1662046B7779218B7694275CB","1E578127E0D5A53840251F17472F68808BC5D6E1662046B7779218B7694275CB"
"SAME_HASH","retro\tools\ps2-bios-dumper\tools-bios-dumper-v2.tar.gz","C:\RUNEFOGE_PRO\runeforge\app\retro\tools\ps2-bios-dumper\tools-bios-dumper-v2.tar.gz","C:\RUNEFOGE_PRO\runeforge\runeforge\app\retro\tools\ps2-bios-dumper\tools-bios-dumper-v2.tar.gz","0.0003","0.0003","B37C9326B8DCBAEDD867E82B6778FE6AF259D890B4C156CD88F95A9BB46E75B1","B37C9326B8DCBAEDD867E82B6778FE6AF259D890B4C156CD88F95A9BB46E75B1"
"SAME_HASH","retro\tools\ps2-bios-dumper\tools-bios-dumper-v2.zip","C:\RUNEFOGE_PRO\runeforge\app\retro\tools\ps2-bios-dumper\tools-bios-dumper-v2.zip","C:\RUNEFOGE_PRO\runeforge\runeforge\app\retro\tools\ps2-bios-dumper\tools-bios-dumper-v2.zip","0.0004","0.0004","C51107ACD9785C57B71F0AEF564764894C79F0635479F60C0DA631E80A750FBD","C51107ACD9785C57B71F0AEF564764894C79F0635479F60C0DA631E80A750FBD"
"SAME_HASH","retro\tools\ps2-bios-dumper\tools-tests-pad.tar.gz","C:\RUNEFOGE_PRO\runeforge\app\retro\tools\ps2-bios-dumper\tools-tests-pad.tar.gz","C:\RUNEFOGE_PRO\runeforge\runeforge\app\retro\tools\ps2-bios-dumper\tools-tests-pad.tar.gz","0.0003","0.0003","4740877A3DF7F3D362822E71C7C5EB267824E93ACF4576BEA8F68B5485E5EA2C","4740877A3DF7F3D362822E71C7C5EB267824E93ACF4576BEA8F68B5485E5EA2C"
"SAME_HASH","retro\tools\ps2-bios-dumper\tools-tests-pad.zip","C:\RUNEFOGE_PRO\runeforge\app\retro\tools\ps2-bios-dumper\tools-tests-pad.zip","C:\RUNEFOGE_PRO\runeforge\runeforge\app\retro\tools\ps2-bios-dumper\tools-tests-pad.zip","0.0004","0.0004","F3C554165794823747C846F51E9E48B3E3680FC7BA4B7BF44F9E6B9E67CD8F9A","F3C554165794823747C846F51E9E48B3E3680FC7BA4B7BF44F9E6B9E67CD8F9A"
